,Language,Algorithm,Construct,Line
0,cirq,01-deutch-jotza,or,import cirq
1,cirq,01-deutch-jotza,or,"def deutsch_jozsa(n, oracle):"
2,cirq,01-deutch-jotza,for,qubits = [cirq.LineQubit(i) for i in range(n)]
3,cirq,01-deutch-jotza,or,qubits = [cirq.LineQubit(i) for i in range(n)]
4,cirq,01-deutch-jotza,for,circuit.append(cirq.H(q) for q in qubits + [aux_qubit])
5,cirq,01-deutch-jotza,or,circuit.append(cirq.H(q) for q in qubits + [aux_qubit])
6,cirq,01-deutch-jotza,or,circuit.append(oracle)
7,cirq,01-deutch-jotza,for,circuit.append(cirq.H(q) for q in qubits)
8,cirq,01-deutch-jotza,or,circuit.append(cirq.H(q) for q in qubits)
9,cirq,01-deutch-jotza,or,def constant_oracle(n):
10,cirq,01-deutch-jotza,or,def balanced_oracle(n):
11,cirq,01-deutch-jotza,for,qubits = [cirq.LineQubit(i) for i in range(n)]
12,cirq,01-deutch-jotza,or,qubits = [cirq.LineQubit(i) for i in range(n)]
13,cirq,01-deutch-jotza,or,oracle = cirq.Circuit()
14,cirq,01-deutch-jotza,for,for q in qubits:
15,cirq,01-deutch-jotza,or,for q in qubits:
16,cirq,01-deutch-jotza,or,"oracle.append(cirq.CNOT(q, aux_qubit))"
17,cirq,01-deutch-jotza,or,return oracle
18,cirq,01-deutch-jotza,or,"print(deutsch_jozsa(n, balanced_oracle(n)))"
19,cirq,01-deutch-jotza,or,"print(deutsch_jozsa(n, constant_oracle(n)))"
20,cirq,02-vazirani,or,import cirq
21,cirq,02-vazirani,for,qubits = [cirq.LineQubit(i) for i in range(n + 1)]
22,cirq,02-vazirani,or,qubits = [cirq.LineQubit(i) for i in range(n + 1)]
23,cirq,02-vazirani,for,"for i, bit in enumerate(reversed(s)):"
24,cirq,02-vazirani,or,"for i, bit in enumerate(reversed(s)):"
25,cirq,02-vazirani,if,"if bit == ""1"":"
26,cirq,03-simon,or,import cirq
27,cirq,03-simon,or,import numpy as np
28,cirq,03-simon,or,import matplotlib.pyplot as plt
29,cirq,03-simon,or,from scipy.linalg import null_space
30,cirq,03-simon,or,"def simon_oracle_cirq(n, s):"
31,cirq,03-simon,for,qubits = [cirq.LineQubit(i) for i in range(2 * n)]
32,cirq,03-simon,or,qubits = [cirq.LineQubit(i) for i in range(2 * n)]
33,cirq,03-simon,or,oracle = []
34,cirq,03-simon,for,"for i, bit in enumerate(reversed(s)):"
35,cirq,03-simon,or,"for i, bit in enumerate(reversed(s)):"
36,cirq,03-simon,if,if bit == '1':
37,cirq,03-simon,or,"oracle.append(cirq.CX(qubits[i], qubits[n + i]))"
38,cirq,03-simon,or,"return oracle, qubits"
39,cirq,03-simon,or,"def simon_algorithm_cirq(n, s):"
40,cirq,03-simon,or,"oracle, qubits = simon_oracle_cirq(n, s)"
41,cirq,03-simon,or,circuit.append(oracle)
42,cirq,03-simon,or,"circuit = simon_algorithm_cirq(n, s)"
43,cirq,04-grover,or,import cirq
44,cirq,04-grover,or,import numpy as np
45,cirq,04-grover,or,import matplotlib.pyplot as plt
46,cirq,04-grover,or,"def grover_oracle(qubits, marked_state):"
47,cirq,04-grover,or,oracle = cirq.Circuit()
48,cirq,04-grover,for,"for i, bit in enumerate(marked_state):"
49,cirq,04-grover,or,"for i, bit in enumerate(marked_state):"
50,cirq,04-grover,if,if bit == '0':
51,cirq,04-grover,or,oracle.append(cirq.X(qubits[i]))
52,cirq,04-grover,or,oracle.append(cirq.H(qubits[-1]))
53,cirq,04-grover,or,"oracle.append(cirq.TOFFOLI(qubits[0], qubits[1], qubits[2]))"
54,cirq,04-grover,or,oracle.append(cirq.H(qubits[-1]))
55,cirq,04-grover,for,"for i, bit in enumerate(marked_state):"
56,cirq,04-grover,or,"for i, bit in enumerate(marked_state):"
57,cirq,04-grover,if,if bit == '0':
58,cirq,04-grover,or,oracle.append(cirq.X(qubits[i]))
59,cirq,04-grover,or,return oracle
60,cirq,04-grover,if,def grover_diffusion(qubits):
61,cirq,04-grover,if,diffusion = cirq.Circuit()
62,cirq,04-grover,if,diffusion.append(cirq.H.on_each(*qubits))
63,cirq,04-grover,if,diffusion.append(cirq.X.on_each(*qubits))
64,cirq,04-grover,if,diffusion.append(cirq.H(qubits[-1]))
65,cirq,04-grover,if,"diffusion.append(cirq.TOFFOLI(qubits[0], qubits[1], qubits[2]))"
66,cirq,04-grover,if,diffusion.append(cirq.H(qubits[-1]))
67,cirq,04-grover,if,diffusion.append(cirq.X.on_each(*qubits))
68,cirq,04-grover,if,diffusion.append(cirq.H.on_each(*qubits))
69,cirq,04-grover,if,return diffusion
70,cirq,04-grover,or,"def grover_algorithm(n, marked_state, iterations=1):"
71,cirq,04-grover,or,"oracle = grover_oracle(qubits, marked_state)"
72,cirq,04-grover,if,diffusion = grover_diffusion(qubits)
73,cirq,04-grover,for,for _ in range(iterations):
74,cirq,04-grover,or,for _ in range(iterations):
75,cirq,04-grover,or,circuit.append(oracle)
76,cirq,04-grover,if,circuit.append(diffusion)
77,cirq,04-grover,or,"circuit, qubits = grover_algorithm(n, marked_state, iterations)"
78,cirq,04-grover,or,simulator = cirq.Simulator()
79,cirq,04-grover,or,"result = simulator.run(circuit, repetitions=shots)"
80,cirq,04-grover,for,"formatted_counts = {format(key, f'0{n}b'): value for key, value in sorted(counts.items())}"
81,cirq,04-grover,or,"formatted_counts = {format(key, f'0{n}b'): value for key, value in sorted(counts.items())}"
82,cirq,04-grover,for,"return formatted_counts, circuit"
83,cirq,04-grover,or,"return formatted_counts, circuit"
84,qapl,01-deutch-jotza,⋄,⍺ {⍵:(((0 ⍺) (⊂SWAP)) stage mid_state) ⋄ mid_state} (⍺≠0)
85,qapl,01-deutch-jotza,¨,stg_ctrl ← (((⍳n_qubits)-1) ({H}¨⍳n_qubits))
86,qapl,02-vazirani,¨,"⊃ #.quapl.circuit.stage / (((⍸⍺),¨0){⍺ (⊂⍵)}¨⊂#.quapl.gates.CNOT),⊂⍵"
87,qapl,02-vazirani,",","⊃ #.quapl.circuit.stage / (((⍸⍺),¨0){⍺ (⊂⍵)}¨⊂#.quapl.gates.CNOT),⊂⍵"
88,qapl,04-grover,¨,stg_ctrl ← ((qubits_index) ({⍵=0:#.quapl.gates.X ⋄ ⍵=1:#.quapl.gates.I }¨ x ) )
89,qapl,04-grover,⋄,stg_ctrl ← ((qubits_index) ({⍵=0:#.quapl.gates.X ⋄ ⍵=1:#.quapl.gates.I }¨ x ) )
90,qapl,04-grover,¨,stg_ctrl ← ((qubits_index) ({H}¨qubits))
91,qapl,04-grover,¨,mid_state ← ((qubits_index) ({H}¨qubits))  stage  mid_state
92,qapl,04-grover,¨,mid_state ← ((qubits_index) ({X}¨qubits)) stage mid_state
93,qapl,04-grover,¨,"mid_state ← ((qubits_index) (({I}¨( ¯1↓(qubits))) , ⊂H ) ) stage mid_state"
94,qapl,04-grover,",","mid_state ← ((qubits_index) (({I}¨( ¯1↓(qubits))) , ⊂H ) ) stage mid_state"
95,qapl,04-grover,¨,"mid_state ← ((qubits_index) (({I}¨( ¯1↓(qubits))) , ⊂H ) ) stage mid_state"
96,qapl,04-grover,",","mid_state ← ((qubits_index) (({I}¨( ¯1↓(qubits))) , ⊂H ) ) stage mid_state"
97,qapl,04-grover,¨,mid_state ← ((qubits_index) ({X}¨qubits))  stage mid_state
98,qapl,04-grover,¨,mid_state ← ((qubits_index) ({H}¨qubits)) stage mid_state
99,qiskit,01-deutch-jotza,or,"from qiskit import QuantumCircuit, transpile"
100,qiskit,01-deutch-jotza,or,from qiskit_aer import Aer
101,qiskit,01-deutch-jotza,or,"def deutsch_jozsa(n, oracle):"
102,qiskit,01-deutch-jotza,or,"qc.append(oracle, range(n + 1))"
103,qiskit,01-deutch-jotza,or,def constant_oracle(n):
104,qiskit,01-deutch-jotza,or,oracle = QuantumCircuit(n + 1)
105,qiskit,01-deutch-jotza,or,"return oracle.to_gate(label=""Constant Oracle"")"
106,qiskit,01-deutch-jotza,or,def balanced_oracle(n):
107,qiskit,01-deutch-jotza,or,oracle = QuantumCircuit(n + 1)
108,qiskit,01-deutch-jotza,for,for i in range(n):
109,qiskit,01-deutch-jotza,or,for i in range(n):
110,qiskit,01-deutch-jotza,or,"oracle.cx(i, n)"
111,qiskit,01-deutch-jotza,or,"return oracle.to_gate(label=""Balanced Oracle"")"
112,qiskit,01-deutch-jotza,or,"qc = deutsch_jozsa(n, constant_oracle(n))"
113,qiskit,01-deutch-jotza,or,"qc2 = deutsch_jozsa(n, balanced_oracle(n))"
114,qiskit,02-vazirani,or,from qiskit import QuantumCircuit
115,qiskit,02-vazirani,for,"for i, bit in enumerate(reversed(s)):"
116,qiskit,02-vazirani,or,"for i, bit in enumerate(reversed(s)):"
117,qiskit,02-vazirani,if,"if bit == ""1"":"
118,qiskit,03-simon,or,"from qiskit import QuantumCircuit, transpile"
119,qiskit,03-simon,or,from qiskit_aer import Aer
120,qiskit,03-simon,or,from qiskit.visualization import plot_histogram
121,qiskit,03-simon,or,import numpy as np
122,qiskit,03-simon,or,from scipy.linalg import null_space
123,qiskit,03-simon,or,"def simon_oracle(n, s):"
124,qiskit,03-simon,for,"for i, bit in enumerate(reversed(s)):"
125,qiskit,03-simon,or,"for i, bit in enumerate(reversed(s)):"
126,qiskit,03-simon,if,if bit == '1':
127,qiskit,03-simon,or,"def simon_algorithm(n, s):"
128,qiskit,03-simon,or,"oracle = simon_oracle(n, s)"
129,qiskit,03-simon,or,"qc.append(oracle, range(2 * n))"
130,qiskit,03-simon,or,"qc = simon_algorithm(n, s)"
131,qiskit,04-grover,or,"from qiskit import QuantumCircuit, transpile"
132,qiskit,04-grover,or,from qiskit.visualization import plot_histogram
133,qiskit,04-grover,or,from qiskit_aer import Aer
134,qiskit,04-grover,or,import numpy as np
135,qiskit,04-grover,or,"def grover_oracle(n, marked_state):"
136,qiskit,04-grover,or,oracle = QuantumCircuit(n)
137,qiskit,04-grover,for,"for i, bit in enumerate(reversed(marked_state)):"
138,qiskit,04-grover,or,"for i, bit in enumerate(reversed(marked_state)):"
139,qiskit,04-grover,if,if bit == '0':
140,qiskit,04-grover,or,oracle.x(i)
141,qiskit,04-grover,or,oracle.h(n-1)
142,qiskit,04-grover,list,"oracle.mcx(list(range(n-1)), n-1)"
143,qiskit,04-grover,or,"oracle.mcx(list(range(n-1)), n-1)"
144,qiskit,04-grover,or,oracle.h(n-1)
145,qiskit,04-grover,for,"for i, bit in enumerate(reversed(marked_state)):"
146,qiskit,04-grover,or,"for i, bit in enumerate(reversed(marked_state)):"
147,qiskit,04-grover,if,if bit == '0':
148,qiskit,04-grover,or,oracle.x(i)
149,qiskit,04-grover,or,"return oracle.to_gate(label=""Grover Oracle"")"
150,qiskit,04-grover,if,def grover_diffusion(n):
151,qiskit,04-grover,if,diffusion = QuantumCircuit(n)
152,qiskit,04-grover,if,diffusion.h(range(n))
153,qiskit,04-grover,if,diffusion.x(range(n))
154,qiskit,04-grover,if,diffusion.h(n-1)
155,qiskit,04-grover,if,"diffusion.mcx(list(range(n-1)), n-1)"
156,qiskit,04-grover,list,"diffusion.mcx(list(range(n-1)), n-1)"
157,qiskit,04-grover,if,diffusion.h(n-1)
158,qiskit,04-grover,if,diffusion.x(range(n))
159,qiskit,04-grover,if,diffusion.h(range(n))
160,qiskit,04-grover,if,"return diffusion.to_gate(label=""Diffusion"")"
161,qiskit,04-grover,or,"def grover_algorithm(n, marked_state, iterations=1):"
162,qiskit,04-grover,or,"oracle = grover_oracle(n, marked_state)"
163,qiskit,04-grover,if,diffusion = grover_diffusion(n)
164,qiskit,04-grover,for,for _ in range(iterations):
165,qiskit,04-grover,or,for _ in range(iterations):
166,qiskit,04-grover,or,"qc.append(oracle, range(n))"
167,qiskit,04-grover,if,"qc.append(diffusion, range(n))"
168,qiskit,04-grover,or,"qc = grover_algorithm(n, marked_state, iterations)"
169,qiskit,04-grover,or,backend = Aer.get_backend('aer_simulator')
170,qrisp,01-deutch-jotza,or,import qrisp
171,qrisp,01-deutch-jotza,or,"def deutsch_jozsa(n, oracle):"
