,Directory,File Name,n1 (Unique Operators),n2 (Unique Operands),N1 (Total Operators),N2 (Total Operands),Vocabulary,Length,Volume,Difficulty,Effort
0,cirq,01-deutch-jotza,20,14,106,56,34,162,824.1689802825549,40.0,32966.7592113022
1,cirq,02-vazirani,24,10,76,36,34,112,569.7958382200379,43.2,24615.18021110564
2,cirq,03-simon,22,14,82,62,36,144,744.4692002076929,48.714285714285715,36266.285324403325
3,cirq,04-grover,29,16,204,93,45,297,1631.0803696099133,84.28125,137469.4924011855
4,qapl,01-deutch-jotza,2,25,3,72,27,75,356.6165626622601,2.88,1027.055700467309
5,qapl,02-vazirani,1,6,1,7,7,8,22.458839376460833,0.5833333333333334,13.100989636268821
6,qapl,03-simon,0,0,0,0,0,0,0.0,0.0,0.0
7,qapl,04-grover,4,32,14,164,36,178,920.2466502567315,10.25,9432.528165131498
8,qiskit,01-deutch-jotza,17,13,43,55,30,98,480.8752783696348,35.96153846153846,17293.014818292635
9,qiskit,02-vazirani,16,8,26,32,24,58,265.9278250418271,32.0,8509.690401338466
10,qiskit,03-simon,19,15,41,56,34,97,493.4838956012829,35.46666666666667,17502.228830658834
11,qiskit,04-grover,30,25,101,115,55,216,1248.7736981213266,69.0,86165.38517037153
12,qrisp,01-deutch-jotza,15,14,34,42,29,76,369.20655562969546,22.5,8307.147501668147
13,qrisp,02-vazirani,16,7,26,31,23,57,257.84303149524976,35.42857142857143,9135.01025868885
14,qrisp,03-simon,18,9,36,43,27,79,375.636112670914,43.0,16152.352844849302
15,qrisp,04-grover,26,12,87,84,38,171,897.3956047988531,91.0,81663.00003669564
16,qmod,01-deutch-jotza,11,13,30,42,24,72,330.1173000519232,17.76923076923077,5865.930485538021
17,qmod,02-vazirani,21,9,31,31,30,62,304.22721692772814,36.16666666666667,11002.884345552835
18,qmod,03-simon,10,7,22,27,17,49,200.2856792212666,19.285714285714285,3862.65238498157
19,qmod,04-grover,10,6,25,31,16,56,224.0,25.833333333333336,5786.666666666667
20,q#,01-deutch-jotza,27,15,80,47,42,127,684.8243126929026,42.3,28968.068426909776
21,q#,02-vazirani,25,14,60,44,39,104,549.6818307616738,39.285714285714285,21594.64335135147
22,q#,03-simon,25,10,61,41,35,102,523.1868677283866,51.24999999999999,26813.32697107981
23,q#,04-grover,36,16,151,85,52,236,1345.3037734812976,95.625,128644.67333914909
24,qasm,01-deutch-jotza,5,2,27,15,7,42,117.90890672641937,18.75,2210.7920011203632
25,qasm,02-vazirani,5,3,32,19,8,51,153.0,15.833333333333332,2422.5
26,qasm,03-simon,5,2,22,12,7,34,95.45006734995854,15.0,1431.7510102493782
27,qasm,04-grover,8,5,61,46,13,107,395.9470498410969,36.8,14570.851434152364
28,classic,01-deutch-jotza,14,18,32,43,32,75,375.0,16.72222222222222,6270.833333333333
29,classic,02-vazirani,16,16,32,43,32,75,375.0,21.5,8062.5
30,classic,03-simon,14,24,46,69,38,115,603.5116640460124,20.125,12145.672238926
31,classic,04-grover,12,15,25,40,27,65,309.0676876406254,16.0,4945.083002250007
