,01-deutsch-jozsa,02-bernstein-vazirani,03-simon,04-grover,06-qft,05-vqsvd
cirq,0.2608695652173913,0.23529411764705882,0.15384615384615385,0.13636363636363635,0.3125,0.0
quapl,0.14285714285714285,0.1,0.21052631578947367,0.1590909090909091,0.12,0.0
qiskit,0.09090909090909091,0.2,0.15789473684210525,0.13953488372093023,0.21052631578947367,0.08363636363636363
qrisp,0.09523809523809523,0.21428571428571427,0.21428571428571427,0.125,0.3076923076923077,0.0
qmod,0.034482758620689655,0.12,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.0
q#,0.06060606060606061,0.1111111111111111,0.1,0.10714285714285714,0.19047619047619047,0.0
qasm,0.06666666666666667,0.058823529411764705,0.08333333333333333,0.037037037037037035,0.030303030303030304,0.0
qasm3,0.2857142857142857,0.2,0.25,0.2222222222222222,0.03225806451612903,0.0
pennylane,0.13793103448275862,0.19047619047619047,0.16666666666666666,0.13043478260869565,0.23529411764705882,0.0670391061452514
classic,0.0,0.07142857142857142,0.03571428571428571,0.07692307692307693,0.0,0.0
paddle,0.0,0.0,0.0,0.0,0.0,0.04819277108433735
