Language,Algorithm,Construct,Line
cirq,01-deutsch-jotza,for,qubits = [cirq.LineQubit(i) for i in range(n)]
cirq,01-deutsch-jotza,for,circuit.append(cirq.H(q) for q in qubits + [aux_qubit])
cirq,01-deutsch-jotza,for,circuit.append(cirq.H(q) for q in qubits)
cirq,01-deutsch-jotza,for,qubits = [cirq.LineQubit(i) for i in range(n)]
cirq,01-deutsch-jotza,for,for q in qubits:
cirq,02-bernstein-vazirani,for,qubits = [cirq.LineQubit(i) for i in range(n + 1)]
cirq,02-bernstein-vazirani,on_each,circuit += cirq.H.on_each(*qubits)
cirq,02-bernstein-vazirani,for,"for i, bit in enumerate(reversed(s)):"
cirq,02-bernstein-vazirani,if,"if bit == ""1"":"
cirq,02-bernstein-vazirani,on_each,circuit += cirq.H.on_each(*qubits[:-1])
cirq,03-simon,for,qubits = [cirq.LineQubit(i) for i in range(2 * n)]
cirq,03-simon,for,"for i, bit in enumerate(reversed(s)):"
cirq,03-simon,if,if bit == '1':
cirq,03-simon,on_each,circuit.append(cirq.H.on_each(*qubits[:n]))
cirq,03-simon,on_each,circuit.append(cirq.H.on_each(*qubits[:n]))
cirq,04-grover,for,"for i, bit in enumerate(marked_state):"
cirq,04-grover,if,if bit == '0':
cirq,04-grover,for,"for i, bit in enumerate(marked_state):"
cirq,04-grover,if,if bit == '0':
cirq,04-grover,on_each,diffusion.append(cirq.H.on_each(*qubits))
cirq,04-grover,on_each,diffusion.append(cirq.X.on_each(*qubits))
cirq,04-grover,on_each,diffusion.append(cirq.X.on_each(*qubits))
cirq,04-grover,on_each,diffusion.append(cirq.H.on_each(*qubits))
cirq,04-grover,on_each,circuit.append(cirq.H.on_each(*qubits))
cirq,04-grover,for,for _ in range(iterations):
quapl,01-deutsch-jotza,⋄,⍺ {⍵:(((0 ⍺) (⊂SWAP)) stage mid_state) ⋄ mid_state} (⍺≠0)
quapl,01-deutsch-jotza,¨,stg_ctrl ← (((⍳n_qubits)-1) ({H}¨⍳n_qubits))
quapl,02-bernstein-vazirani,¨,stg_ctrl ← (((⍳(2⍟1⌷⍴(vs)) )-1) ({#.quapl.gates.H}¨( ⍳(2⍟1⌷⍴(vs)) )))
quapl,02-bernstein-vazirani,¨,"ops ← ((⍸(⍺)) -1),¨targets"
quapl,02-bernstein-vazirani,",","ops ← ((⍸(⍺)) -1),¨targets"
quapl,03-simon,¨,"ops ← ((⍸⊃⍺) - 1),¨(((2⍟1⌷⍴⍵) ÷ 2) + ((⍸⊃⍺) - 1))"
quapl,03-simon,",","ops ← ((⍸⊃⍺) - 1),¨(((2⍟1⌷⍴⍵) ÷ 2) + ((⍸⊃⍺) - 1))"
quapl,03-simon,¨,mid_state ← ((qubits_index) ({#.quapl.gates.H}¨qubits_index))  #.quapl.circuit.stage (⊃1↑⍵)
quapl,03-simon,¨,((qubits_index) ({#.quapl.gates.H}¨qubits_index))  #.quapl.circuit.stage  mid_state
quapl,04-grover,¨,((qubits_index) ({⍵=0:#.quapl.gates.X ⋄ ⍵=1:#.quapl.gates.I }¨ x )) #.quapl.circuit.stage vs
quapl,04-grover,⋄,((qubits_index) ({⍵=0:#.quapl.gates.X ⋄ ⍵=1:#.quapl.gates.I }¨ x )) #.quapl.circuit.stage vs
quapl,04-grover,¨,stg_ctrl ← (((⍳n_qubits)-1) ({H}¨(⍳n_qubits)))
quapl,04-grover,¨,mid_state ← (((2⊃⍵)-1) ({H}¨(2⊃⍵)))  stage  mid_state
quapl,04-grover,¨,mid_state ← (((2⊃⍵)-1) ({X}¨(2⊃⍵))) stage mid_state
quapl,04-grover,¨,"mid_state ← (((2⊃⍵)-1) (({I}¨( ¯1↓((2⊃⍵)))) , ⊂H ) ) stage mid_state"
quapl,04-grover,",","mid_state ← (((2⊃⍵)-1) (({I}¨( ¯1↓((2⊃⍵)))) , ⊂H ) ) stage mid_state"
quapl,04-grover,¨,"mid_state ← (((2⊃⍵)-1) (({I}¨( ¯1↓((2⊃⍵)))) , ⊂H ) ) stage mid_state"
quapl,04-grover,",","mid_state ← (((2⊃⍵)-1) (({I}¨( ¯1↓((2⊃⍵)))) , ⊂H ) ) stage mid_state"
quapl,04-grover,¨,mid_state ← (((2⊃⍵)-1) ({X}¨(2⊃⍵)))  stage mid_state
quapl,04-grover,¨,mid_state ← (((2⊃⍵)-1) ({H}¨(2⊃⍵))) stage mid_state
qiskit,01-deutsch-jotza,for,for i in range(n):
qiskit,02-bernstein-vazirani,for,"for i, bit in enumerate(reversed(s)):"
qiskit,02-bernstein-vazirani,if,"if bit == ""1"":"
qiskit,03-simon,for,"for i, bit in enumerate(reversed(s)):"
qiskit,03-simon,if,if bit == '1':
qiskit,04-grover,for,"for i, bit in enumerate(reversed(marked_state)):"
qiskit,04-grover,if,if bit == '0':
qiskit,04-grover,list,"oracle.mcx(list(range(n-1)), n-1)"
qiskit,04-grover,for,"for i, bit in enumerate(reversed(marked_state)):"
qiskit,04-grover,if,if bit == '0':
qiskit,04-grover,list,"diffusion.mcx(list(range(n-1)), n-1)"
qiskit,04-grover,for,for _ in range(iterations):
qiskit,05-vqsvd,and,Qiskit-based Variational Quantum SVD using ADAM and parameter-shift.
qiskit,05-vqsvd,for,for d in range(self.depth):
qiskit,05-vqsvd,for,for q in range(self.num_qubits):
qiskit,05-vqsvd,for,for q in range(self.num_qubits - 1):
qiskit,05-vqsvd,for,for idx in range(dim):
qiskit,05-vqsvd,for,"for q, bit in enumerate(bstr):"
qiskit,05-vqsvd,if,if bit == '1':
qiskit,05-vqsvd,for,"svals = [np.real(product[i, i]) for i in range(self.rank)]"
qiskit,05-vqsvd,for,delayed(grad_i)(i) for i in range(len(x))
