Language,01-deutsch-jozsa,02-bernstein-vazirani,03-simon,04-grover,05-vqsvd,06-qft
cirq,1604.3478260869565,1590.161326662812,1491.7222061853936,3409.7128330181904,0.0,1467.6136363636363
classic,0.0,913.0456832904368,712.5803037128308,588.8268714730223,0.0,0.0
paddle,0.0,0.0,0.0,0.0,3384.817701551882,0.0
pennylane,1067.3358162128861,1128.7148958862724,924.5043239536177,2057.2016825915575,6783.126252126275,1622.846869537842
q#,1038.685733409158,1025.259285984335,1083.8575434690424,2429.461727085197,0.0,505.0143373726382
qasm,216.0,243.0,119.31258418744818,401.1666666666667,0.0,1072.889323166147
qasm3,234.8017106868098,309.1922964491223,193.58797503894243,582.9334667096338,0.0,851.0052340302304
qiskit,1157.5670225230872,902.4844258830896,916.5684537522567,2545.6912415564057,3255.3467125305706,941.2630535577536
qmod,347.1842026295938,758.9459099045439,426.0064449196281,1743.6169136199458,0.0,82.82655711525663
qrisp,668.5714285714286,775.2887141061459,772.2297062384607,132.34773328441338,0.0,1169.0357573928723
quapl,548.0751428512334,718.1413950182302,1035.7264487100008,2858.00914109504,0.0,2261.951510288138
